--------- فهرست دروس اخذ شده توسط اساتید ---------
شناسه درس		نام درس		شناسه استاد درس		نام و نام خانوادگی استاد
11		نظریه زبان ها و ماشین ها		1		محمد کیانی
9		پایتون مقدماتی		1		محمد کیانی
1		پردازش تصویر		1		محمد کیانی
8		یادگیری عمیق		1		محمد کیانی
7		یادگیری ماشین		1		محمد کیانی
10		ASP.net		2		رئوف صادقی
6		زبان ماشین		2		رئوف صادقی
11		نظریه زبان ها و ماشین ها		2		رئوف صادقی
1		پردازش تصویر		2		رئوف صادقی
3		C#		3		شيدا نيلي
12		رياضيات مهندسي		3		شيدا نيلي
5		فیزیک 1		3		شيدا نيلي
2		برنامه نویسی اندروید		4		زهرا صناعی
12		رياضيات مهندسي		4		زهرا صناعی
4		ریاضی 1		4		زهرا صناعی
11		نظریه زبان ها و ماشین ها		4		زهرا صناعی
3		C#		5		احمد فاخر
12		رياضيات مهندسي		5		احمد فاخر
